GenAge ID,symbol,aliases,name,entrez gene id,uniprot,why,band,location start,location end,orientation,acc promoter,acc orf,acc cds,references,orthologs
1,GHR,GHBP,growth hormone receptor,2690,GHR_HUMAN,mammal,5p13-p12,42423775,42721878,1,,NM_000163,NP_000154,"12933651,10875265,2233903,10895047,12392795,14698816,15295107,15308771,15342923,8612101,15466429,15536017,15582293,15919742,15621211,16129095,15985475,16524678,16682650,16939484,17183314,17173483,19234595,7664676,16282554,16339324,21325617,19286975,9371826,11213276,16799137,17301033,11950656,24517230,25274507,27732088,27688483,26268661","Ghr;Mus musculus,Ghr;Rattus norvegicus,ghrb;Danio rerio,ghra;Danio rerio"
2,GHRH,GHRF,growth hormone releasing hormone,2691,SLIB_HUMAN,mammal,20q11.2,37251086,37256896,-1,HS_GHRH,NM_021081,NP_066567,"114,431,811,239,279,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Ghrh;Mus musculus,Ghrh;Rattus norvegicus"
3,SHC1,p66 ShcA SHC,SHC (Src homology 2 domain containing) transforming protein 1,6464,SHC1_HUMAN,mammal,1q21,154962298,154974483,-1,,NM_003029,NP_003020,"11884717,12483226,10580504,12032825,12571362,14530863,14501182,12763525,7564569,14698816,15078873,15036421,15295107,15308771,15466429,15582293,15339240,15930121,16439820,16763167,18413607,18838380,19327338,19892704,20085805,20624962,16026332,15992607,24336818,25257068,18065182,26968134","Shc1;Mus musculus,Shc;Drosophila melanogaster,Shc1;Rattus norvegicus,shc1;Danio rerio,shc-1;Caenorhabditis elegans"
4,POU1F1,GHF-1 POU1F1a PIT1,POU class 1 homeobox 1,5449,PIT1_HUMAN,mammal,3p11,87259633,87276587,-1,,NM_000306,NP_000297,"1,509,263,113,716,190,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Pou1f1;Mus musculus,Pou1f1;Rattus norvegicus,pou1f1;Danio rerio"
5,PROP1,,PROP paired-like homeobox 1,5626,PROP1_HUMAN,mammal,5q35.3,177992235,177996242,-1,,NM_006261,NP_006252,###############################################################################################################################################################################################################################################################,"Prop1;Mus musculus,CG32532;Drosophila melanogaster,unc-42;Caenorhabditis elegans,Prop1;Rattus norvegicus"
6,TP53,p53 LFS1,tumor protein p53,7157,P53_HUMAN,"mammal,model,cell",17p13.1,7668401,7687550,-1,HS_TP53,NM_000546,NP_000537,"9733514,9733515,12142523,12115733,12533509,12032825,11780111,10037601,9218725,12917625,1511730,8051093,9989825,9275177,8654922,12750285,7958916,10973262,11023999,10557106,12719720,10364153,10581258,10761921,15604409,11971980,9353177,12397361,12397362,11348659,16286925,10805805,9171368,12093737,10950866,10877825,11430832,10403253,10805721,11257107,12006491,11672523,11099047,9119221,12509446,1535557,10838077,1552940,12960381,12089551,11934988,14712078,11331603,15078873,12735900,12914700,15013668,11672522,15122989,15044383,15295107,15247009,15308771,14992722,14871929,15383658,14726476,12470840,15466429,15732191,12015983,9529248,15361884,16079796,16054100,10227293,16107615,12882406,16079851,16139996,19620979,16303568,15716376,16302026,16079181,16269335,16439820,16476774,16443777,16391230,16337913,16441846,14713953,15781852,11035041,10691732,15550242,10757812,16728594,11280729,16892051,15152190,12086851,17014852,16652371,16675955,17227869,10710310,17015833,17122775,18242175,17973971,17889646,17637672,17664422,12426394,15928081,19013273,21307849,19718024,19718028,19416129,19239418,18843043,18362329,17546051,20194434,18242663,12665570,10910364,23349637,23602569,23744274,22384090,21522133,12364621,21368881,18204081,18800172,19118192,12629205,9716137,9312059,23973961,16582880,8275084,12914701,15992607,15905204,15147944,15059885,23124852,12447382,17581637,18089799,24341977,16862142,25990896","LOC100910954;Rattus norvegicus,Trp53;Mus musculus,tp53;Danio rerio"
7,TERC,TR hTR TRC3 DKCA1 PFBMFT2 SCARNA19,telomerase RNA component,7012,,"mammal,cell",3q26,169764609,169765060,-1,,NR_001566,,"12540856,7544491,9454332,9335332,10089885,2655926,1689810,9849895,9742964,9560153,11850781,10568811,15974869,11574891,10973262,11081503,15098033,15235603,15189140,15312299,15367665,14746617,15466429,15556289,15545322,15326392,12174094,20139977,1582420,23159929,23535734,12426399,16284252,16582880,19915151",
8,TERT,TRT TP2 TCS1 hEST2 EST2,telomerase reverse transcriptase,7015,TERT_HUMAN,"cell,functional",5p15.33,1253147,1295069,-1,,NM_003219,NP_003210,"8978029,9110970,9454332,9288757,11387197,12034875,2655926,12917625,9849895,9742964,7761406,11850781,10568811,12764382,8618017,7727765,8808676,15974869,9600234,11081503,12527915,12827497,9988278,11452025,11277998,12717449,12729798,9328464,12089551,15189140,10440377,15247011,15312299,14726476,10606235,15556289,15574496,15326392,15688016,15814878,16477310,18073191,19571879,19013273,21307849,21113150,20643931,15184392,18843043,15843522,18184747,19580824,1582420,8692840,23349637,23159929,16107853,23744274,23535734,9973199,20605919,15079066,15905204,23535731,19915151,24960204,24749076,25519492","trt1;Schizosaccharomyces pombe,Tert;Mus musculus,Tert;Rattus norvegicus,tert;Danio rerio,EST2;Saccharomyces cerevisiae"
9,ATM,TEL1 TELO1 ATA ATDC ATC ATD,ATM serine/threonine kinase,472,ATM_HUMAN,mammal,11q22-q23,108222832,108369099,1,,NM_000051,NP_000042,"12540856,9733514,9733515,12142523,9363685,10037601,12919958,2005780,9117983,12215213,9353177,2836804,10783165,10802669,10839545,10567403,14712078,15073328,15059890,11331603,14707289,12526788,15122331,15353794,14745549,7777860,15466429,15655364,15733840,8843194,11172010,10691732,12629512,16675955,10435585,21459046,21186350,19524511,20966255,17522062,18804090,20453858,20194434,23019125,23277187,18931659,9405657,9312059,23408054,15345673,15905204,12447382,27732836","Atm;Mus musculus,tefu;Drosophila melanogaster,Atm;Rattus norvegicus,atm;Danio rerio,TEL1;Saccharomyces cerevisiae,atm-1;Caenorhabditis elegans"
10,PLAU,URK UPA,"plasminogen activator, urokinase",5328,UROK_HUMAN,mammal,10q22.2,73911104,73917500,1,HS_PLAU,NM_002658,NP_002649,"12,898,287,129,544,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Plau;Mus musculus,Plau;Rattus norvegicus,svh-1;Caenorhabditis elegans,plaua;Danio rerio,plaub;Danio rerio"
